payer_email,recipient_email,sum,currency,billing_date,comment
vasya@mail.com,petya@mail.com,910.00,INR,2015-01-23,"I haven't seen any statuses about Ninjas lately....well played Ninjas."
petya@mail.com,ivan@mail.com,233.00,MYR,2015-09-29,"I do 5 sit-ups every morning. May not sound like much, but there is only so many times you can hit the snooze button..."
ivan@mail.com,bobby@mail.com,492.00,AUD,2015-11-10,"On a scale of Voldemort to Pinocchio, how Nosy are you?"
bobby@mail.com,lenny@mail.com,553.00,CAD,2015-05-22,"I love how, in horror movies, the person yells out,Hello? As if the bad is going to yell back, Yeah, I'm in the kitchen! Do you want a sandwich? Or,Hey, yeah I'm back here with a chainsaw. Come on down."
lenny@mail.com,alex@mail.com,132.00,AUD,2015-07-21,"No I didn't trip, the floor looked like it needed a hug."
alex@mail.com,john@mail.com,668.00,EUR,2015-01-13,"I love how, in horror movies, the person yells out,Hello? As if the bad is going to yell back, Yeah, I'm in the kitchen! Do you want a sandwich? Or,Hey, yeah I'm back here with a chainsaw. Come on down."
john@mail.com,leo@mail.com,183.00,INR,2015-11-13,"Grammar is somewhat important. Commas do save lives for instance: 'Let's eat grandpa.' 'Lets eat, grandpa.'"
leo@mail.com,enzo@mail.com,942.00,USD,2015-09-02,"On a scale of Voldemort to Pinocchio, how Nosy are you?"
enzo@mail.com,franz@mail.com,299.00,JPY,2015-09-08,"I dream of a better tomorrow, where chickens can cross the road and not be questioned about their motives."
franz@mail.com,vasya@mail.com,197.00,SGD,2015-12-24,"I wonder if tap dancers walk into a room, look at the floor and think,'I'd so tap that.'"
vasya@mail.com,ivan@mail.com,179.00,MYR,2015-05-29,"Light travels faster then sound. This is why some people appear bright ,until you hear them talk."
petya@mail.com,bobby@mail.com,354.00,MYR,2015-09-01,"I wish real life was like cartoons. I could wear the same outfit and nobody would care."
ivan@mail.com,lenny@mail.com,266.00,USD,2015-04-15,"I was complimented on my driving. Someone left a note on my windshield that said, 'Parking Fine.'"
bobby@mail.com,alex@mail.com,873.00,SGD,2015-01-08,"Why do banks lock their pens to the desk? If I'm trusting you with my money, don't you think you can trust me with a pen?"
lenny@mail.com,john@mail.com,885.00,USD,2015-07-26,"I haven't seen any statuses about Ninjas lately....well played Ninjas."
alex@mail.com,leo@mail.com,904.00,INR,2015-10-14,"On a scale of Voldemort to Pinocchio, how Nosy are you?"
john@mail.com,enzo@mail.com,455.00,JPY,2015-10-29,"On a scale of Voldemort to Pinocchio, how Nosy are you?"
leo@mail.com,franz@mail.com,798.00,JPY,2015-08-11,"I wish real life was like cartoons. I could wear the same outfit and nobody would care."
enzo@mail.com,vasya@mail.com,687.00,CAD,2015-12-12,"I speak my mind. I never mind what I speak."
franz@mail.com,petya@mail.com,609.00,EUR,2015-08-15,"Anytime a bird poops on one of my windows, I eat a whole plate of scrambled egg on my patio. Just to show them what I'm capable of. Take that birds"
